iter	Passed	Remaining
416	2769	3872
417	2776	3865
418	2783	3859
419	2789	3852
420	2796	3846
421	2802	3839
422	2809	3832
423	2816	3825
424	2822	3818
425	2828	3811
426	2834	3804
427	2840	3796
428	2847	3790
429	2854	3783
430	2860	3776
431	2867	3770
432	2873	3762
433	2880	3756
434	2886	3749
435	2893	3743
436	2900	3736
437	2906	3729
438	2912	3722
439	2918	3714
440	2925	3708
441	2932	3701
442	2938	3694
443	2944	3687
444	2951	3680
445	2957	3673
446	2963	3666
447	2970	3659
448	2976	3652
449	2982	3644
450	2988	3638
451	2995	3632
452	3002	3625
453	3009	3619
454	3016	3613
455	3022	3605
456	3028	3598
457	3035	3591
458	3041	3584
459	3048	3578
460	3054	3570
461	3060	3564
462	3067	3557
463	3073	3550
464	3080	3544
465	3086	3536
466	3092	3530
467	3098	3522
468	3104	3515
469	3111	3508
470	3117	3501
471	3124	3494
472	3130	3487
473	3136	3480
474	3143	3474
475	3149	3467
476	3156	3460
477	3161	3453
478	3167	3445
479	3174	3439
480	3181	3432
481	3187	3425
482	3192	3417
483	3199	3410
484	3206	3404
485	3212	3397
486	3219	3390
487	3225	3383
488	3231	3376
489	3238	3370
490	3244	3363
491	3251	3356
492	3257	3349
493	3263	3342
494	3270	3336
495	3276	3329
496	3282	3322
497	3288	3314
498	3294	3307
499	3301	3301
500	3307	3294
501	3314	3288
502	3321	3282
503	3328	3275
504	3334	3268
505	3341	3262
506	3347	3255
507	3354	3248
508	3360	3241
509	3366	3234
510	3372	3227
511	3380	3222
512	3386	3214
513	3393	3208
514	3400	3202
515	3407	3196
516	3413	3189
517	3420	3182
518	3426	3176
519	3432	3168
520	3440	3162
521	3446	3155
522	3452	3148
523	3458	3141
524	3464	3134
525	3471	3128
526	3477	3121
527	3483	3114
528	3490	3107
529	3496	3100
530	3503	3094
531	3509	3087
532	3516	3081
533	3522	3074
534	3528	3066
535	3535	3060
536	3541	3053
537	3548	3046
538	3554	3040
539	3560	3033
540	3566	3026
541	3573	3019
542	3580	3013
543	3588	3007
544	3595	3001
545	3603	2995
546	3610	2989
547	3615	2982
548	3622	2975
549	3628	2969
550	3635	2962
